Id,host_is_superhost,host_total_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,dist_nearist_attraction,property_type_Apartment,property_type_House,property_type_Other,property_type_Villa,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,area_Manly,area_Pittwater,area_Warringah
570,0.0,-0.17180677198549454,1.0,0.052366604754267486,-0.5771223250333126,0.14169634045731783,-0.20671721644739116,-0.5858065787781132,-0.881689526772604,-0.3009317897211757,-0.23469550337734696,-1.0885045188634435,-0.43678143771228256,1.9030899869919435,0.9030899869919435,0.7781512503836436,1.0,1.0,0.9030899869919435,0.9030899869919435,1.0,-0.22534522587782185,1,0,0,0,1,0,0,1,0,0,1,0,0
571,0.0,-0.17180677198549454,1.0,-0.6904633812044156,-0.5771223250333126,-0.8274054165989805,-0.9012145313539773,-0.5858065787781132,-0.17843847767870732,-0.3009317897211757,-0.23469550337734696,0.9650584754112863,0.17006484031844615,1.9912260756924949,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.7164278549092286,1,0,0,0,0,1,0,1,0,0,1,0,0
572,0.0,-0.17180677198549454,0.0,0.052366604754267486,-0.5771223250333126,-0.8274054165989805,-0.20671721644739116,0.4269219070848185,-0.881689526772604,-0.3009317897211757,0.20550223312374943,-1.094029800462389,-0.43678143771228256,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3307012486980983,0,1,0,0,1,0,0,0,0,1,0,0,1
573,0.0,-0.17180677198549454,0.0,-0.31904838822507403,-0.5771223250333126,0.14169634045731783,-0.9012145313539773,-0.5858065787781132,-0.03778826785992796,-0.3009317897211757,-0.32273505067756625,-1.1013968425943164,-0.3019267092610095,1.954242509439325,0.9542425094393249,0.9030899869919435,1.0,0.9542425094393249,0.9030899869919435,0.9542425094393249,0.0,-0.7390000385306273,1,0,0,0,1,0,0,0,0,1,1,0,0
574,0.0,-0.17180677198549454,1.0,0.052366604754267486,-0.5771223250333126,0.14169634045731783,-0.20671721644739116,-0.5858065787781132,-0.881689526772604,-0.3009317897211757,-0.1466559560771277,0.9650584754112863,-0.5042088019379191,1.9867717342662448,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.3391237124247098,1,0,0,0,1,0,0,0,1,0,0,0,1
575,0.0,-0.17180677198549454,1.0,0.052366604754267486,-0.5771223250333126,0.14169634045731783,-0.20671721644739116,-0.28198803301923364,-0.881689526772604,-0.3009317897211757,-0.05861640877690841,0.9650584754112863,-0.03221725235846341,1.9867717342662448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2323039977381958,1,0,0,0,1,0,0,1,0,0,1,0,0
576,0.0,-0.17180677198549454,0.0,0.052366604754267486,-0.5771223250333126,0.14169634045731783,-0.20671721644739116,-0.5858065787781132,-0.38941379240687635,-0.3009317897211757,0.029423138523310872,-1.094029800462389,-0.43678143771228256,1.9867717342662448,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.7690962833591589,0,1,0,0,1,0,0,0,0,1,0,0,1
577,0.0,-0.17180677198549454,0.0,-0.6904633812044156,-0.5771223250333126,-0.8274054165989805,-0.9012145313539773,0.02183051273964583,-0.03778826785992796,-0.3009317897211757,-0.23469550337734696,0.9650584754112863,0.10263747609280964,1.9912260756924949,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.7301913815076424,0,0,1,0,0,1,0,0,0,1,0,1,0
578,0.0,-0.17180677198549454,1.0,0.423781597733609,1.1297336632891484,1.110798097513616,1.8767747282723675,1.4396503929477502,3.3378167677907764,-0.3009317897211757,-0.1466559560771277,0.9650584754112863,-0.5042088019379191,1.9867717342662448,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.674571985767228,0,1,0,0,1,0,0,0,1,0,1,0,0
579,0.0,-0.17180677198549454,0.0,0.7951965907129506,1.1297336632891484,2.079899854569914,1.8767747282723675,-0.5858065787781132,-0.881689526772604,-0.3009317897211757,0.029423138523310872,-1.0792957161985344,-0.5042088019379191,1.9867717342662448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6208172234722469,1,0,0,0,1,0,0,1,0,0,0,0,1
